Id,Designator,Package,Quantity,Designation
1,P6,Pin_Header_Straight_1x06_Pitch2.54mm,1,Male Pin Headers
2,JP1,Pin_Header_Straight_1x02_Pitch2.54mm,1,Male Pin Headers
3,"P4,P1,P3,P2",Pin_Header_Straight_1x10_Pitch2.54mm,2,CONN_10
4,"C1,C2",C_0603,2,22pF
5,"C3,C4,C5,C6",C_0603,4,0.1uF
6,R1,C_0603,1,10K
7,"R2,R3,R4,R5",C_0603,4,470r
8,U***1,LQFP-44,1,PIC16F877A
9,CON1,USB_Micro-B_SMD_NEW_1,1,USB-MICRO-B
10,"D1,D3",LED-0603_NEW,2,LED RED
11,SW1,Through hole,1,2 pin Tactile Switch
12,U1,cp2102_xl2,1,CP2102
13,X1,Crystal H-49,1,20Mhz
